Country Name,2009,2010,2011,2012,2013,2014,2015,2016
Europe & Central Asia,885591693,889016221,891094964,894666669,898855113,903094668,907424836,911995305
Ecuador,14691275,14934690,15177355,15419666,15661547,15903112,16144368,16385068
"Egypt, Arab Rep.",82465022,84107606,85897561,87813257,89807433,91812566,93778172,95688681
Euro area,335360887,336151479,335425831,336167296,337296873,338429646,339519210,340894606
Eritrea,4310334,4390840,4474690,,,,,
Spain,46362946,46576897,46742697,46773055,46620045,46480882,46447697,46443959
Estonia,1334515,1331475,1327439,1322696,1317997,1314545,1315407,1316481
Ethiopia,85416253,87702670,90046756,92444183,94887724,97366774,99873033,102403196
European Union,503317964,504421131,504012082,505104334,506592457,508157247,509703315,511497415
Fragile and conflict affected situations,428246870,438737943,449398455,460228236,471253115,482474449,493919601,505635987
Finland,5338871,5363352,5388272,5413971,5438972,5461512,5479531,5495096
Fiji,851967,859950,867086,873596,879715,885806,892149,898760
France,64707044,65027512,65342776,65659790,65998570,66331957,66624068,66896109
Faroe Islands,48517,48550,48608,48666,48747,48842,48965,49117
"Micronesia, Fed. Sts.",103960,103616,103468,103503,103702,104015,104433,104937
Gabon,1586754,1640210,1697101,1756817,1817271,1875713,1930175,1979786
United Kingdom,62276270,62766365,63258918,63700300,64128226,64613160,65128861,65637239
Georgia,3978000,3926000,3875000,3825000,3776000,3727000,3717100,3719300
Ghana,23903831,24512104,25121796,25733049,26346251,26962563,27582821,28206728
Gibraltar,32956,33189,33405,33623,33831,34038,34228,34408
Guinea,10556524,10794170,11035170,11281469,11536615,11805509,12091533,12395924
"Gambia, The",1639560,1692149,1746363,1802125,1859324,1917852,1977590,2038501
Guinea-Bissau,1517448,1555880,1596154,1638139,1681495,1725744,1770526,1815698
Equatorial Guinea,909111,951104,994290,1038593,1083746,1129424,1175389,1221490
Greece,11107017,11121341,11104899,11045011,10965211,10892413,10820883,10746740
Grenada,104296,104677,105075,105481,105909,106360,106823,107317
Greenland,56323,56905,56890,56810,56483,56295,56114,56186
Guatemala,14316208,14630417,14948919,15271056,15596214,15923559,16252429,16582469
Guam,159231,159444,159678,159973,160375,160967,161797,162896
Guyana,745693,746556,749100,753091,758081,763393,768514,773303
High income,1141985286,1149511694,1154998991,1161900127,1168843771,1175966521,1182929820,1190029421
"Hong Kong SAR, China",6972800,7024200,7071600,7154600,7187500,7241700,7305700,7346700
Honduras,8035021,8194778,8351600,8505646,8657785,8809216,8960829,9112867
Heavily indebted poor countries (HIPC),612731524,630127436,648053253,666488623,685401960,704745420,724482652,744602976
Croatia,4429078,4417781,4280622,4267558,4255689,4238389,4203604,4170600
Haiti,9852870,9999617,10145054,10289210,10431776,10572466,10711061,10847334
Hungary,10022650,10000023,9971727,9920362,9893082,9866468,9843028,9817958
IBRD only,4383580939,4427798045,4472295862,4517416870,4562691125,4607807731,4652578287,4697247117
