Country Name,2009,2010,2011,2012,2013,2014
Eritrea,430.7544499,482.1490904,582.7755302,,,
Spain,32334.00548,30736.62785,31835.2888,28563.85904,29211.77375,29623.16445
Estonia,14726.31828,14638.60482,17454.84342,17421.89022,19072.23852,19949.58138
Ethiopia,379.7566385,341.3099092,354.8463544,468.5067249,502.1535887,571.1622759
European Union,33977.44188,33687.58817,36412.96835,34230.95153,35584.58217,36666.6498
Fragile and conflict affected situations,1259.718722,1466.468021,1558.69666,1644.799092,1720.054895,1767.486889
Finland,47107.15571,46202.41516,50790.72415,47415.55987,49638.07713,49914.61864
Fiji,3369.408247,3651.966784,4353.121392,4546.738504,4763.068956,5045.769926
France,41631.13141,40703.34592,43810.20155,40838.02506,42554.12012,42955.24189
Faroe Islands,46521.50171,47397.90292,50789.0486,48421.80307,53612.825,57543.66906
"Micronesia, Fed. Sts.",2693.023278,2861.771348,3000.948119,3150.910602,3047.584425,3057.24559
Gabon,7603.660223,8754.113922,10716.2032,9774.180761,9679.759204,9692.163874
United Kingdom,38262.18213,38893.01849,41412.34924,41790.77914,42724.06788,46783.46922
Georgia,2706.588512,2964.477034,3725.063221,4142.869175,4274.376857,4429.650075
Ghana,1086.765038,1312.607557,1574.978653,1629.800222,1814.492297,1432.227943
Gibraltar,,,,,,
Guinea,636.2717095,635.6714852,614.8694482,654.7998027,726.0940747,744.6823178
"Gambia, The",549.3108277,562.4825159,514.3738607,504.9740094,483.4863012,434.4656467
Guinea-Bissau,544.2220779,546.7216686,688.7718197,604.2683552,622.1351066,611.4384267
Equatorial Guinea,16530.20937,17136.44568,21451.88617,21557.6528,20246.99308,19245.65151
Greece,29710.9703,26917.75898,25916.29353,22242.68193,21874.8195,21760.9798
Grenada,7395.088125,7365.666659,7410.408438,7583.187002,7956.076548,8569.776998
Greenland,41277.46789,40532.5081,44212.44114,42398.63367,43967.15016,45317.11429
Guatemala,2635.753474,2825.52407,3187.845296,3299.605139,3452.828934,3687.763767
Guam,30025.56035,30700.43401,30862.11,32499.23425,33278.25409,34361.08022
Guyana,2764.306295,3044.949129,3438.825411,3799.756292,3941.114697,4031.532007
High income,37776.91238,39326.90412,42233.42669,42012.65603,42216.73208,42823.06093
"Hong Kong SAR, China",30697.34038,32549.99823,35142.48793,36730.8767,38403.77771,40315.28556
Honduras,1815.489496,1932.85829,2120.589469,2178.377385,2136.393851,2242.707459
Heavily indebted poor countries (HIPC),692.0403897,743.2502642,806.6576379,844.6503536,890.9925146,920.5262347
Croatia,14157.14416,13505.74586,14539.18421,13235.97757,13574.74009,13467.46827
Haiti,668.2976046,662.2795182,740.9358452,766.8437623,810.2656073,830.1148117
Hungary,13029.88338,13092.23376,14118.12263,12888.30459,13667.70279,14201.44883
IBRD only,3756.920038,4508.768275,5278.715863,5543.603393,5807.488626,5943.034472
IDA  IBRD total,3073.913178,3691.881557,4297.425951,4503.839864,4711.952103,4821.61607
IDA total,840.8766398,1060.069667,1174.79814,1238.101193,1316.465776,1393.138343
IDA blend,1085.344028,1561.403891,1747.384398,1877.554728,1993.789695,2114.749598
Indonesia,2400.367644,3113.480635,3634.276805,3687.953996,3620.663981,3491.595887
IDA only,725.2968926,806.4729547,884.0740274,911.8094899,970.5233375,1024.001603
Isle of Man,69172.18604,73935.679,76055.5421,79028.04498,82356.82337,89941.64429
India,1090.317765,1345.770153,1461.671957,1446.98541,1452.195373,1573.118089
Not classified,,,,,,
Ireland,52104.03515,48671.88812,52224.01097,49177.4413,52060.46786,55899.16348
"Iran, Islamic Rep.",5619.117621,6531.92743,7729.343353,7832.902635,6036.192088,5540.984136
Iraq,3735.144836,4502.749048,5854.614497,6651.12242,6925.224046,6703.074737
Iceland,40461.89251,41676.44527,46000.02017,44333.85018,47810.30888,52473.11356
Israel,27709.11754,30642.94062,33689.83853,32525.95659,36291.23211,37539.95182
Italy,36976.84553,35849.3732,38334.68385,34814.12512,35370.27526,35396.66572
Jamaica,4293.322822,4682.521248,5103.356097,5209.506189,5005.592249,4855.800481
Jordan,3492.130906,3679.190275,3807.324145,3870.753211,3992.867107,4066.940775
Japan,40855.17564,44507.67639,48167.99727,48603.47665,40454.44746,38096.21151
Kazakhstan,7165.27705,9070.649972,11634.42422,12387.18982,13890.85601,12806.56511
Kenya,920.0816252,967.3400773,987.4453967,1155.020582,1229.114798,1335.06458
Kyrgyz Republic,871.2243893,880.0377751,1123.883168,1177.974735,1282.437162,1279.769783
Cambodia,738.2326684,785.6928841,882.4901462,950.0244132,1028.419568,1098.687123
Kiribati,1297.285141,1493.16051,1692.613277,1763.815497,1724.361737,1619.342566
St. Kitts and Nevis,14212.33957,13704.25445,14483.44351,13965.55811,14823.74859,15775.84594
"Korea, Rep.",18291.9196,22086.95292,24079.78852,24358.78218,25890.01867,27811.36638
Kuwait,37567.30121,38497.61696,48268.5912,51264.07134,48399.90581,42996.40812
Latin America  Caribbean (excluding high income),7024.266138,8641.87814,9720.028562,9665.443022,9776.764948,9891.404494
Lao PDR,948.1276421,1141.127115,1381.425606,1588.633147,1838.80602,2017.587781
Lebanon,8480.945504,8858.283977,8734.189185,8922.896752,8721.254215,8536.682494
Liberia,303.0667491,327.4205097,379.6895803,415.0361958,454.1222236,458.4651734
Libya,10296.97353,12120.56217,5602.549434,,,
St. Lucia,7384.859301,8007.696484,8270.541758,8218.053212,8481.890521,8796.69108
Latin America  Caribbean,7299.791889,8943.357022,10047.89535,10026.5543,10157.64722,10233.1276
Least developed countries: UN classification,702.8332841,780.191188,865.6056509,896.7555846,950.0221813,1005.333099
Low income,498.3798496,522.8794197,572.1978886,599.2194348,630.3642807,661.0971203
Liechtenstein,125945.0096,141165.0829,158283.0763,149295.646,173528.1505,179308.0756
Sri Lanka,2095.443968,2808.434185,3214.013618,3350.594374,3620.44932,3847.853697
Lower middle income,1372.779542,1692.027015,1884.83465,1946.607326,2000.675349,2074.710704
Low  middle income,2982.524389,3588.191905,4182.583641,4393.879546,4598.015615,4709.659533
Lesotho,924.1059321,1169.267842,1350.677653,1281.620558,1192.998772,1218.466106
Late-demographic dividend,5188.65561,6190.810955,7504.143549,7979.45053,8551.704229,8805.624984
Lithuania,11837.39103,11984.86857,14357.73679,14341.08306,15712.82376,16554.97139
Luxembourg,103198.6693,104965.3061,115761.5077,106749.0136,113625.1329,119225.38
Latvia,12219.37379,11326.21947,13702.68947,13822.80559,15061.93745,15758.52974
"Macao SAR, China",40881.38064,52374.79445,66813.34974,76496.36619,89524.84436,94004.38983
St. Martin (French part),,,,,,
Morocco,2861.554005,2834.20472,3039.916016,2904.746728,3111.762887,3160.250851
